"","OB_END_TIME","MAX_AIR_TEMP"
"1","1945-07-01 21:00",11.7
"2","1945-08-01 21:00",14.4
"3","1945-09-01 21:00",12.2
"4","1945-10-01 21:00",13.9
"5","1945-11-01 21:00",12.2
"6","1945-12-01 21:00",9.4
"7","1946-01-01 21:00",6.7
"8","1946-02-01 21:00",6.7
"9","1946-03-01 21:00",0.6
"10","1946-04-01 21:00",9.4
"11","1946-05-01 21:00",10
"12","1946-06-01 21:00",11.7
"13","1946-07-01 21:00",13.9
"14","1946-08-01 21:00",14.4
"15","1946-09-01 21:00",13.9
"16","1946-10-01 21:00",11.7
"17","1946-11-01 21:00",10
"18","1946-12-01 21:00",7.2
"19","1947-01-01 21:00",6.7
"20","1947-02-01 21:00",2.2
"21","1947-03-01 21:00",0.6
"22","1947-04-01 21:00",5.6
"23","1947-05-01 21:00",8.3
"24","1947-06-01 21:00",11.1
"25","1947-07-01 21:00",16.1
"26","1947-08-01 21:00",16.7
"27","1947-09-01 21:00",16.7
"28","1947-10-01 21:00",10
"29","1947-11-01 21:00",10
"30","1947-12-01 21:00",3.3
"31","1948-01-01 21:00",4.4
"32","1948-02-01 21:00",7.8
"33","1948-03-01 21:00",6.1
"34","1948-04-01 21:00",7.8
"35","1948-05-01 21:00",8.3
"36","1948-06-01 21:00",11.1
"37","1948-07-01 21:00",11.1
"38","1948-08-01 21:00",13.3
"39","1948-09-01 21:00",11.7
"40","1948-10-01 21:00",12.8
"41","1948-11-01 21:00",9.4
"42","1948-12-01 21:00",8.9
"43","1949-01-01 21:00",7.8
"44","1949-02-01 21:00",5.6
"45","1949-03-01 21:00",0.6
"46","1949-04-01 21:00",7.2
"47","1949-05-01 21:00",12.2
"48","1949-06-01 21:00",12.2
"49","1949-07-01 21:00",15
"50","1949-08-01 21:00",14.4
"51","1949-09-01 21:00",13.3
"52","1949-10-01 21:00",11.7
"53","1949-11-01 21:00",10.6
"54","1949-12-01 21:00",4.4
"55","1950-01-01 21:00",8.3
"56","1950-02-01 21:00",4.4
"57","1950-03-01 21:00",6.1
"58","1950-04-01 21:00",7.2
"59","1950-05-01 21:00",9.4
"60","1950-06-01 21:00",13.9
"61","1950-07-01 21:00",10
"62","1950-08-01 21:00",16.1
"63","1950-09-01 21:00",13.3
"64","1950-10-01 21:00",11.1
"65","1950-11-01 21:00",10
"66","1950-12-01 21:00",2.8
"67","1951-01-01 21:00",2.8
"68","1951-02-01 21:00",6.7
"69","1951-03-01 21:00",7.2
"70","1951-04-01 21:00",3.9
"71","1951-05-01 21:00",8.3
"72","1951-06-01 21:00",11.1
"73","1951-07-01 21:00",11.7
"74","1951-08-01 21:00",17.2
"75","1951-09-01 21:00",14.4
"76","1951-10-01 21:00",12.8
"77","1951-11-01 21:00",9.4
"78","1951-12-01 21:00",2.2
"79","1952-01-01 21:00",4.4
"80","1952-02-01 21:00",1.7
"81","1952-03-01 21:00",0.6
"82","1952-04-01 21:00",5
"83","1952-05-01 21:00",10.6
"84","1952-06-01 21:00",9.4
"85","1952-07-01 21:00",16.7
"86","1952-08-01 21:00",12.8
"87","1952-09-01 21:00",13.3
"88","1952-10-01 21:00",10.6
"89","1952-11-01 21:00",9.4
"90","1952-12-01 21:00",7.2
"91","1953-01-01 21:00",3.3
"92","1953-02-01 21:00",1.7
"93","1953-03-01 21:00",8.9
"94","1953-04-01 21:00",6.1
"95","1953-05-01 21:00",10
"96","1953-06-01 21:00",10
"97","1953-07-01 21:00",12.8
"98","1953-08-01 21:00",15
"99","1953-09-01 21:00",12.8
"100","1953-10-01 21:00",15
"101","1953-11-01 21:00",10
"102","1953-12-01 21:00",10.6
"103","1954-01-01 21:00",8.9
"104","1954-02-01 21:00",1.7
"105","1954-03-01 21:00",0.6
"106","1954-04-01 21:00",8.3
"107","1954-05-01 21:00",7.2
"108","1954-06-01 21:00",10.6
"109","1954-07-01 21:00",12.8
"110","1954-08-01 21:00",14.4
"111","1954-09-01 21:00",12.8
"112","1954-10-01 21:00",7.8
"113","1954-11-01 21:00",7.2
"114","1954-12-01 21:00",8.9
"115","1955-01-01 21:00",6.1
"116","1955-02-01 21:00",7.2
"117","1955-03-01 21:00",4.4
"118","1955-04-01 21:00",8.9
"119","1955-05-01 21:00",11.1
"120","1955-06-01 21:00",10.6
"121","1955-07-01 21:00",13.3
"122","1955-08-01 21:00",15
"123","1955-09-01 21:00",12.2
"124","1955-10-01 21:00",10.6
"125","1955-11-01 21:00",9.4
"126","1955-12-01 21:00",9.4
"127","1956-01-01 21:00",3.9
"128","1956-02-01 21:00",-3.3
"129","1956-03-01 21:00",7.8
"130","1956-04-01 21:00",8.9
"131","1956-05-01 21:00",7.2
"132","1956-06-01 21:00",12.2
"133","1956-07-01 21:00",11.7
"134","1956-08-01 21:00",11.7
"135","1956-09-01 21:00",12.8
"136","1956-10-01 21:00",10.6
"137","1956-11-01 21:00",8.9
"138","1956-12-01 21:00",6.7
"139","1957-01-01 21:00",6.1
"140","1957-02-01 21:00",5.6
"141","1957-03-01 21:00",7.8
"142","1957-04-01 21:00",6.1
"143","1957-05-01 21:00",9.4
"144","1957-06-01 21:00",11.1
"145","1957-07-01 21:00",13.3
"146","1957-08-01 21:00",14.4
"147","1957-09-01 21:00",14.4
"148","1957-10-01 21:00",9.4
"149","1957-11-01 21:00",7.8
"150","1957-12-01 21:00",8.9
"151","1958-01-01 21:00",1.1
"152","1958-02-01 21:00",6.7
"153","1958-03-01 21:00",7.2
"154","1958-04-01 21:00",5.6
"155","1958-05-01 21:00",13.9
"156","1958-06-01 21:00",10
"157","1958-07-01 21:00",16.1
"158","1958-08-01 21:00",13.3
"159","1958-09-01 21:00",13.3
"160","1958-10-01 21:00",12.2
"161","1958-11-01 21:00",8.9
"162","1958-12-01 21:00",8.3
"163","1959-01-01 21:00",4.4
"164","1959-02-01 21:00",5.6
"165","1959-03-01 21:00",8.9
"166","1959-04-01 21:00",9.4
"167","1959-05-01 21:00",10
"168","1959-06-01 21:00",12.2
"169","1959-07-01 21:00",11.7
"170","1959-08-01 21:00",15
"171","1959-09-01 21:00",13.9
"172","1959-10-01 21:00",14.4
"173","1959-11-01 21:00",10.6
"174","1959-12-01 21:00",8.3
"175","1960-01-01 21:00",5.6
"176","1960-02-01 21:00",6.1
"177","1960-03-01 21:00",8.9
"178","1960-04-01 21:00",7.8
"179","1960-05-01 21:00",5
"180","1960-06-01 21:00",15
"181","1960-07-01 21:00",12.8
"182","1960-08-01 21:00",15
"183","1960-09-01 21:00",13.3
"184","1960-10-01 21:00",12.8
"185","1960-11-01 21:00",7.2
"186","1960-12-01 21:00",8.3
"187","1961-01-01 21:00",6.3
"188","1961-02-01 21:00",4.6
"189","1961-03-01 21:00",7.9
"190","1961-04-01 21:00",2.8
"191","1961-05-01 21:00",8.3
"192","1961-06-01 21:00",9.4
"193","1961-07-01 21:00",16.1
"194","1961-08-01 21:00",14.8
"195","1961-09-01 21:00",14.7
"196","1961-10-01 21:00",13.7
"197","1961-11-01 21:00",8.9
"198","1961-12-01 21:00",4.3
"199","1962-01-01 21:00",3.9
"200","1962-02-01 21:00",4.3
"201","1962-03-01 21:00",4.1
"202","1962-04-01 21:00",7.2
"203","1962-05-01 21:00",8.4
"204","1962-06-01 21:00",8.5
"205","1962-07-01 21:00",12.2
"206","1962-08-01 21:00",12.9
